"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  Data presented from public health laboratories include the weekly total number of specimens tested, the number of positive influenza tests, and the number by influenza virus type, subtype, and influenza B lineage."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v,A (H5)
HHS Regions,Region 1,2017,33,4,0,0,0,0,0,1,0,0
HHS Regions,Region 9,2017,33,107,3,10,1,0,0,7,0,0
HHS Regions,Region 1,2017,34,3,0,0,0,0,0,0,0,0
HHS Regions,Region 9,2017,34,131,4,10,1,0,1,6,0,0
HHS Regions,Region 1,2017,35,7,0,2,0,0,0,0,0,0
HHS Regions,Region 9,2017,35,138,4,10,0,0,0,0,0,0
HHS Regions,Region 1,2017,36,5,0,3,0,0,0,0,0,0
HHS Regions,Region 9,2017,36,125,3,12,0,0,0,7,0,0
HHS Regions,Region 1,2017,37,4,0,3,0,0,0,0,0,0
HHS Regions,Region 9,2017,37,185,2,21,0,0,0,9,0,0
HHS Regions,Region 1,2017,38,9,0,1,0,0,0,0,0,0
HHS Regions,Region 9,2017,38,189,1,24,1,1,0,10,0,0
HHS Regions,Region 1,2017,39,8,0,1,0,0,0,0,0,0
HHS Regions,Region 9,2017,39,200,1,22,1,0,0,1,0,0
HHS Regions,Region 1,2017,40,26,1,2,0,0,0,0,0,0
HHS Regions,Region 9,2017,40,193,0,37,2,4,0,3,0,0
HHS Regions,Region 1,2017,41,26,0,5,0,0,0,0,0,0
HHS Regions,Region 9,2017,41,236,1,43,7,5,3,1,0,0
HHS Regions,Region 1,2017,42,31,0,1,0,0,0,0,0,0
HHS Regions,Region 9,2017,42,255,2,48,0,1,1,2,0,0
HHS Regions,Region 1,2017,43,31,0,4,0,0,0,0,0,0
HHS Regions,Region 9,2017,43,349,2,57,22,9,1,5,0,0
HHS Regions,Region 1,2017,44,56,0,7,0,0,0,1,0,0
HHS Regions,Region 9,2017,44,333,4,85,14,8,2,12,0,0
HHS Regions,Region 1,2017,45,43,0,5,0,0,1,0,0,0
HHS Regions,Region 9,2017,45,390,14,128,0,1,2,14,0,0
HHS Regions,Region 1,2017,46,73,1,11,0,0,0,0,0,0
HHS Regions,Region 9,2017,46,390,4,131,0,7,3,14,0,0
HHS Regions,Region 1,2017,47,60,1,23,0,0,0,3,0,0
HHS Regions,Region 9,2017,47,379,9,176,2,2,5,12,0,0
HHS Regions,Region 1,2017,48,58,2,13,0,0,0,3,0,0
HHS Regions,Region 9,2017,48,528,12,249,3,2,7,25,0,0
HHS Regions,Region 1,2017,49,72,1,24,0,0,0,0,0,0
HHS Regions,Region 9,2017,49,632,12,318,4,6,11,30,0,0
HHS Regions,Region 1,2017,50,102,2,40,0,0,1,0,0,0
HHS Regions,Region 9,2017,50,876,20,529,1,9,27,39,0,0
HHS Regions,Region 1,2017,51,110,1,55,0,1,0,9,0,0
HHS Regions,Region 9,2017,51,1387,33,928,5,19,29,57,0,0
HHS Regions,Region 1,2017,52,192,9,110,1,0,0,14,0,0
HHS Regions,Region 9,2017,52,1754,54,1168,16,46,23,120,0,0
HHS Regions,Region 1,2018,1,262,6,140,0,0,1,25,0,0
HHS Regions,Region 9,2018,1,1978,65,1175,22,83,35,133,0,0
HHS Regions,Region 1,2018,2,348,12,171,2,4,1,35,0,0
HHS Regions,Region 9,2018,2,1856,73,970,40,50,26,139,0,0
HHS Regions,Region 1,2018,3,392,30,208,0,3,1,39,0,0
HHS Regions,Region 9,2018,3,1327,65,489,32,60,23,123,0,0
HHS Regions,Region 1,2018,4,548,44,257,0,0,2,80,0,0
HHS Regions,Region 9,2018,4,1188,52,395,8,69,24,145,0,0
HHS Regions,Region 1,2018,5,455,39,193,0,3,7,53,0,0
HHS Regions,Region 9,2018,5,1154,64,307,10,46,48,195,0,0
HHS Regions,Region 1,2018,6,438,36,173,0,4,8,69,0,0
HHS Regions,Region 9,2018,6,1109,65,258,12,53,46,230,0,0
HHS Regions,Region 1,2018,7,359,28,116,0,3,8,67,0,0
HHS Regions,Region 9,2018,7,965,82,193,2,34,33,188,0,0
HHS Regions,Region 1,2018,8,334,15,121,0,8,6,52,0,0
HHS Regions,Region 9,2018,8,648,42,87,8,34,30,138,0,0
HHS Regions,Region 1,2018,9,246,27,51,1,11,4,31,0,0
HHS Regions,Region 9,2018,9,731,43,70,5,25,21,220,0,0
HHS Regions,Region 1,2018,10,158,6,17,2,1,14,39,0,0
HHS Regions,Region 9,2018,10,775,23,81,11,40,27,219,0,0
HHS Regions,Region 1,2018,11,101,5,17,0,0,12,29,0,0
HHS Regions,Region 9,2018,11,625,50,33,13,48,24,153,0,0
HHS Regions,Region 1,2018,12,114,6,15,1,9,6,20,0,0
HHS Regions,Region 9,2018,12,446,29,35,5,20,13,87,0,0
HHS Regions,Region 1,2018,13,146,18,17,0,1,5,32,0,0
HHS Regions,Region 9,2018,13,363,15,21,5,21,7,81,0,0
HHS Regions,Region 1,2018,14,112,11,14,0,6,5,17,0,0
HHS Regions,Region 9,2018,14,388,32,11,2,12,12,95,0,0
HHS Regions,Region 1,2018,15,74,11,5,0,0,3,10,0,0
HHS Regions,Region 9,2018,15,287,12,6,2,9,9,82,0,0
HHS Regions,Region 1,2018,16,56,2,4,0,0,2,11,0,0
HHS Regions,Region 9,2018,16,216,14,16,0,4,7,49,0,0
HHS Regions,Region 1,2018,17,39,2,2,0,6,2,2,0,0
HHS Regions,Region 9,2018,17,179,14,8,1,4,9,24,0,0
HHS Regions,Region 1,2018,18,37,0,0,0,1,0,6,0,0
HHS Regions,Region 9,2018,18,149,9,8,0,0,1,22,0,0
HHS Regions,Region 1,2018,19,16,0,2,0,1,0,1,0,0
HHS Regions,Region 9,2018,19,144,4,2,0,0,2,24,0,0
HHS Regions,Region 1,2018,20,8,0,0,0,0,0,0,0,0
HHS Regions,Region 9,2018,20,91,3,3,0,0,0,10,0,0
HHS Regions,Region 1,2018,21,6,0,1,0,0,0,0,0,0
HHS Regions,Region 9,2018,21,95,9,2,0,0,2,9,0,0
HHS Regions,Region 1,2018,22,5,0,0,0,0,0,0,0,0
HHS Regions,Region 9,2018,22,66,1,1,0,0,1,5,0,0
HHS Regions,Region 1,2018,23,7,0,0,0,0,0,0,0,0
HHS Regions,Region 9,2018,23,86,4,2,0,2,2,7,0,0
HHS Regions,Region 1,2018,24,1,0,0,0,0,0,0,0,0
HHS Regions,Region 9,2018,24,82,1,1,0,1,3,4,0,0
HHS Regions,Region 1,2018,25,9,0,0,0,0,0,0,0,0
HHS Regions,Region 9,2018,25,70,0,2,0,0,1,5,0,0
HHS Regions,Region 1,2018,26,0,0,0,0,0,0,0,0,0
HHS Regions,Region 9,2018,26,77,0,4,0,0,0,1,0,0
HHS Regions,Region 1,2018,27,3,0,0,0,0,0,0,0,0
HHS Regions,Region 9,2018,27,25,1,2,0,0,0,2,0,0
HHS Regions,Region 1,2018,28,5,1,0,0,0,0,0,0,0
HHS Regions,Region 9,2018,28,33,2,1,0,0,1,1,0,0
HHS Regions,Region 1,2018,29,2,0,0,0,0,0,0,0,0
HHS Regions,Region 9,2018,29,36,4,2,0,0,0,1,0,0
HHS Regions,Region 1,2018,30,2,0,1,0,0,0,0,0,0
HHS Regions,Region 9,2018,30,62,1,2,3,0,0,0,0,0
HHS Regions,Region 1,2018,31,2,0,0,0,0,0,0,0,0
HHS Regions,Region 9,2018,31,60,3,4,1,0,0,1,0,0
HHS Regions,Region 1,2018,32,1,0,1,0,0,0,0,0,0
HHS Regions,Region 9,2018,32,49,1,2,2,0,0,0,0,0
HHS Regions,Region 1,2018,33,1,0,0,0,0,0,0,0,0
HHS Regions,Region 9,2018,33,42,1,6,6,1,0,1,0,0
HHS Regions,Region 1,2018,34,0,0,0,0,0,0,0,0,0
HHS Regions,Region 9,2018,34,53,0,9,5,1,0,0,0,0
